"Story","Title","Result","Date","Stability","Duration (s)"
"Add article to cart","Add article Sauce Labs Fleece Jacket to cart","SUCCESS","2022-12-22T16:52:58.267492244Z[Etc/UTC]","0.0","9.81"
"Confirm purchase of items added to cart","Confirm the purchase of items added to the cart by adding correct shipping information","SUCCESS","2022-12-22T16:53:08.2401792Z[Etc/UTC]","0.0","4.3"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-22T16:53:12.687696465Z[Etc/UTC]","0.0","15.18"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-22T16:53:12.687696465Z[Etc/UTC]","0.0","15.18"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-22T16:53:12.687696465Z[Etc/UTC]","0.0","15.18"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-22T16:53:12.687696465Z[Etc/UTC]","0.0","15.18"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-22T16:53:27.881188551Z[Etc/UTC]","0.0","10.34"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-22T16:53:27.881188551Z[Etc/UTC]","0.0","10.34"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-22T16:53:27.881188551Z[Etc/UTC]","0.0","10.34"
"Login to SwagLabs dashboard","Login with valid credentials to locked out user","SUCCESS","2022-12-22T16:53:38.231541962Z[Etc/UTC]","0.0","1.31"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-22T16:53:39.644460846Z[Etc/UTC]","0.0","5.65"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-22T16:53:39.644460846Z[Etc/UTC]","0.0","5.65"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-22T16:53:39.644460846Z[Etc/UTC]","0.0","5.65"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-22T16:53:39.644460846Z[Etc/UTC]","0.0","5.65"
