"Story","Title","Result","Date","Stability","Duration (s)"
"Confirm purchase of items added to cart","Confirm the purchase of items added to the cart by adding correct shipping information","SUCCESS","2022-12-29T21:53:40.357572033Z[Etc/UTC]","0.0","5.59"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-29T21:53:45.979267201Z[Etc/UTC]","0.0","19.39"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-29T21:53:45.979267201Z[Etc/UTC]","0.0","19.39"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-29T21:53:45.979267201Z[Etc/UTC]","0.0","19.39"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-29T21:53:45.979267201Z[Etc/UTC]","0.0","19.39"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-29T21:54:05.393922315Z[Etc/UTC]","0.0","11.12"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-29T21:54:05.393922315Z[Etc/UTC]","0.0","11.12"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-29T21:54:05.393922315Z[Etc/UTC]","0.0","11.12"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:54:16.514396553Z[Etc/UTC]","0.0","8.61"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:54:16.514396553Z[Etc/UTC]","0.0","8.61"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:54:16.514396553Z[Etc/UTC]","0.0","8.61"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:54:16.514396553Z[Etc/UTC]","0.0","8.61"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:54:16.514396553Z[Etc/UTC]","0.0","8.61"
